"Year","sex","Age","length","type"
1980,"Female",28,89.4,"DFO - 5C"
1980,"Male",22,85.10000000000001,"DFO - 5C"
1980,"Female",21,84.30000000000001,"DFO - 5C"
1980,"Male",17,80,"DFO - 5C"
1980,"Female",25,112.2,"DFO - 5C"
1980,"Female",40,100.4,"DFO - 5C"
1980,"Male",23,88.9,"DFO - 5C"
1980,"Female",14,80.30000000000001,"DFO - 5C"
1980,"Female",40,94.2,"DFO - 5C"
1980,"Female",21,78.5,"DFO - 5C"
1980,"Female",26,109.30000000000001,"DFO - 5C"
1980,"Female",30,96.4,"DFO - 5C"
1980,"Female",31,98.2,"DFO - 5C"
1980,"Female",33,92.5,"DFO - 5C"
1980,"Female",27,90.4,"DFO - 5C"
1980,"Female",23,104.80000000000001,"DFO - 5C"
1980,"Female",19,105.10000000000001,"DFO - 5C"
1980,"Female",14,82.10000000000001,"DFO - 5C"
1980,"Female",22,88.7,"DFO - 5C"
1980,"Male",32,85.9,"DFO - 5C"
1980,"Male",34,91.60000000000001,"DFO - 5C"
1980,"Female",42,93.2,"DFO - 5C"
1980,"Female",39,98.4,"DFO - 5C"
1980,"Female",37,110.80000000000001,"DFO - 5C"
1980,"Female",31,84,"DFO - 5C"
1980,"Female",21,101.60000000000001,"DFO - 5C"
1980,"Female",30,92.80000000000001,"DFO - 5C"
1980,"Female",42,91.4,"DFO - 5C"
1980,"Female",25,85.4,"DFO - 5C"
1980,"Male",25,81.2,"DFO - 5C"
1980,"Female",28,92.30000000000001,"DFO - 5C"
1980,"Male",20,83.60000000000001,"DFO - 5C"
1980,"Male",15,82.10000000000001,"DFO - 5C"
1980,"Female",33,82.30000000000001,"DFO - 5C"
1980,"Female",16,106.2,"DFO - 5C"
1980,"Female",33,99,"DFO - 5C"
1980,"Female",29,106.4,"DFO - 5C"
1980,"Female",23,76.9,"DFO - 5C"
1980,"Female",27,69.9,"DFO - 5C"
1980,"Female",16,76.5,"DFO - 5C"
1980,"Male",15,74.2,"DFO - 5C"
1980,"Female",7,64.4,"DFO - 5C"
1980,"Female",16,71.5,"DFO - 5C"
1980,"Female",16,76.5,"DFO - 5C"
1980,"Male",7,68.4,"DFO - 5C"
1980,"Female",13,81.30000000000001,"DFO - 5C"
1980,"Female",28,84.7,"DFO - 5C"
1980,"Female",6,74.60000000000001,"DFO - 5C"
1980,"Female",18,72.9,"DFO - 5C"
1980,"Female",17,64.9,"DFO - 5C"
1980,"Male",3,60.7,"DFO - 5C"
1980,"Female",10,73.9,"DFO - 5C"
1980,"Female",24,84.9,"DFO - 5C"
1980,"Male",10,81.9,"DFO - 5C"
1980,"Female",36,98.9,"DFO - 5C"
1980,"Female",31,93,"DFO - 5C"
1980,"Female",15,72.9,"DFO - 5C"
1980,"Female",14,87.4,"DFO - 5C"
1980,"Female",9,76.2,"DFO - 5C"
1980,"Female",21,77.4,"DFO - 5C"
1980,"Female",28,104,"DFO - 5C"
1980,"Female",17,78.60000000000001,"DFO - 5C"
1980,"Female",16,75.60000000000001,"DFO - 5C"
1980,"Female",31,97.80000000000001,"DFO - 5C"
1980,"Female",27,87.60000000000001,"DFO - 5D"
1980,"Female",27,87.2,"DFO - 5D"
1980,"Male",20,77.4,"DFO - 5D"
1980,"Male",18,85.9,"DFO - 5D"
1980,"Female",20,75,"DFO - 5D"
1980,"Male",8,76.5,"DFO - 5D"
1980,"Female",8,68,"DFO - 5D"
1980,"Male",6,73.5,"DFO - 5D"
1980,"Female",16,79.60000000000001,"DFO - 5D"
1980,"Female",34,93.60000000000001,"DFO - 5D"
1980,"Male",20,73.60000000000001,"DFO - 5D"
1980,"Male",20,71.2,"DFO - 5D"
1980,"Female",23,86.30000000000001,"DFO - 5D"
1980,"Female",18,83.10000000000001,"DFO - 5D"
1980,"Female",23,86,"DFO - 5D"
1980,"Female",20,80.60000000000001,"DFO - 5D"
1980,"Female",7,66.2,"DFO - 5D"
1980,"Male",21,90.80000000000001,"DFO - 5D"
