SEASON,DATASOURCE,GEAR_TYPE,CRPT_LOGBOOK_NO,LOGBOOK,DATE_CAPTURED,CRPT_ID,FE_ID,MGMT_AREA,SPECIES_CDE,SPECIES_COMMON_NME,CATCH_QTY,KEPT_REL
1998,LOGBOOK,Commercial SALMON GILL NET,D0067,ROBERT BRIAN,1998-07-06 00:00:00,163314,204510,23,044,SPINY DOGFISH,1,KEPT
1998,LOGBOOK,Commercial SALMON GILL NET,D0067,ROBERT BRIAN,1998-07-20 00:00:00,163484,205458,23,044,SPINY DOGFISH,38,RELEASED
1998,LOGBOOK,Commercial SALMON GILL NET,D0009,SUNDANCE SEA,1998-07-20 00:00:00,163491,205479,23,044,SPINY DOGFISH,1,RELEASED
1998,LOGBOOK,Commercial SALMON GILL NET,D0083,POLARA,1998-07-20 00:00:00,163561,205712,23,044,SPINY DOGFISH,50,RELEASED
1998,LOGBOOK,Commercial SALMON GILL NET,D0083,POLARA,1998-07-21 00:00:00,163537,205661,23,044,SPINY DOGFISH,50,RELEASED
1998,LOGBOOK,Commercial SALMON GILL NET,D0009,SUNDANCE SEA,1998-07-21 00:00:00,163538,205663,23,044,SPINY DOGFISH,1,RELEASED
1998,PHONE-IN,Commercial SALMON GILL NET,D0067,ROBERT BRIAN,1998-07-29 00:00:00,230202,297368,12,044,SPINY DOGFISH,1,KEPT
1998,LOGBOOK,Commercial SALMON GILL NET,D0167,JESTERÊ,1998-07-30 00:00:00,163916,206801,12,044,SPINY DOGFISH,1,KEPT
1998,LOGBOOK,Commercial SALMON GILL NET,D0029,PACIFIC SANDS,1998-07-30 00:00:00,163927,206926,12,044,SPINY DOGFISH,75,RELEASED
1998,LOGBOOK,Commercial SALMON GILL NET,D0122,BRADOTT,1998-07-30 00:00:00,163928,206927,12,044,SPINY DOGFISH,6,RELEASED
1998,LOGBOOK,Commercial SALMON GILL NET,D0067,ROBERT BRIAN,1998-07-30 00:00:00,163940,207060,12,044,SPINY DOGFISH,2,KEPT
1998,PHONE-IN,Commercial SALMON GILL NET,D0009,SUNDANCE SEA,1998-07-30 00:00:00,230301,298405,12,044,SPINY DOGFISH,2,RELEASED
1998,LOGBOOK,Commercial SALMON GILL NET,D0167,JESTERÊ,1998-07-31 00:00:00,163828,206441,12,044,SPINY DOGFISH,1,RELEASED
1998,LOGBOOK,Commercial SALMON GILL NET,D0067,ROBERT BRIAN,1998-09-28 00:00:00,156311,189472,25,044,SPINY DOGFISH,2,RELEASED
1998,PHONE-IN,Commercial SALMON GILL NET,D0016,KID ROCK,1998-09-28 00:00:00,156339,189512,25,044,SPINY DOGFISH,700,RELEASED
1998,PHONE-IN,Commercial SALMON GILL NET,D0028,DESTINY,1998-09-28 00:00:00,156348,189521,25,044,SPINY DOGFISH,150,RELEASED
1998,PHONE-IN,Commercial SALMON GILL NET,D0037,KILLER,1998-09-28 00:00:00,156352,189525,25,044,SPINY DOGFISH,300,RELEASED
1998,PHONE-IN,Commercial SALMON GILL NET,D0050,EBB TIDE,1998-09-28 00:00:00,230333,298733,25,044,SPINY DOGFISH,47,RELEASED
1998,PHONE-IN,Commercial SALMON GILL NET,D0066,KNOT ME,1998-09-28 00:00:00,230336,298756,25,044,SPINY DOGFISH,35,RELEASED
1998,PHONE-IN,Commercial SALMON GILL NET,D0066,KNOT ME,1998-09-28 00:00:00,230336,298755,25,044,SPINY DOGFISH,80,RELEASED
