"","year","station","length","sex","reg_area","fmp"
"1",2021,2040,81,"F","2B","CAN"
"2",2021,2040,88,"F","2B","CAN"
"3",2021,2041,81,"F","2B","CAN"
"4",2021,2100,85,"F","2B","CAN"
"5",2021,2100,68,"M","2B","CAN"
"6",2021,2100,83,"F","2B","CAN"
"7",2021,2101,68,"F","2B","CAN"
"8",2021,2101,67,"M","2B","CAN"
"9",2021,2101,73,"F","2B","CAN"
"10",2021,2276,80,"F","2B","CAN"
"11",2021,2276,70,"M","2B","CAN"
"12",2021,2276,63,"M","2B","CAN"
"13",2021,2278,82,"F","2B","CAN"
"14",2021,2278,64,"M","2B","CAN"
"15",2021,2278,67,"F","2B","CAN"
"16",2021,2280,59,"F","2B","CAN"
"17",2021,2280,67,"M","2B","CAN"
"18",2021,2280,54,"F","2B","CAN"
"19",2021,2115,82,"F","2B","CAN"
"20",2021,2115,87,"F","2B","CAN"
"21",2021,2115,91,"F","2B","CAN"
"22",2021,2116,58,"F","2B","CAN"
"23",2021,2116,58,"M","2B","CAN"
"24",2021,2116,58,"F","2B","CAN"
"25",2021,2111,60,"M","2B","CAN"
"26",2021,2111,80,"F","2B","CAN"
"27",2021,2111,58,"M","2B","CAN"
"28",2021,2110,81,"F","2B","CAN"
"29",2021,2110,66,"F","2B","CAN"
"30",2021,2110,66,"M","2B","CAN"
"31",2021,2108,62,"F","2B","CAN"
"32",2021,2108,65,"M","2B","CAN"
"33",2021,2108,69,"M","2B","CAN"
"34",2021,2102,79,"F","2B","CAN"
"35",2021,2102,62,"M","2B","CAN"
"36",2021,2102,82,"F","2B","CAN"
"37",2021,2109,80,"F","2B","CAN"
"38",2021,2109,62,"M","2B","CAN"
"39",2021,2109,84,"F","2B","CAN"
"40",2021,2095,54,"F","2B","CAN"
"41",2021,2095,76,"F","2B","CAN"
"42",2021,2095,57,"M","2B","CAN"
"43",2021,2089,59,"M","2B","CAN"
"44",2021,2089,64,"M","2B","CAN"
"45",2021,2089,60,"F","2B","CAN"
"46",2021,2209,88,"F","2B","CAN"
"47",2021,2209,84,"F","2B","CAN"
"48",2021,2209,80,"F","2B","CAN"
"49",2021,2208,66,"M","2B","CAN"
"50",2021,2208,71,"M","2B","CAN"
"51",2021,2208,88,"M","2B","CAN"
"52",2021,2213,82,"F","2B","CAN"
"53",2021,2213,80,"F","2B","CAN"
"54",2021,2213,84,"F","2B","CAN"
"55",2021,2012,81,"F","2B","CAN"
"56",2021,2012,79,"F","2B","CAN"
"57",2021,2012,80,"F","2B","CAN"
"58",2021,2016,83,"F","2B","CAN"
"59",2021,2016,79,"F","2B","CAN"
"60",2021,2016,87,"F","2B","CAN"
"61",2021,2014,76,"F","2B","CAN"
"62",2021,2014,81,"F","2B","CAN"
"63",2021,2014,82,"F","2B","CAN"
"64",2021,2010,87,"F","2B","CAN"
"65",2021,2010,75,"F","2B","CAN"
"66",2021,2010,81,"F","2B","CAN"
"67",2021,2002,68,"F","2B","CAN"
"68",2021,2002,56,"F","2B","CAN"
"69",2021,2002,65,"M","2B","CAN"
"70",2021,2205,68,"M","2B","CAN"
"71",2021,2205,67,"M","2B","CAN"
"72",2021,2205,60,"M","2B","CAN"
"73",2021,2011,64,"M","2B","CAN"
"74",2021,2011,74,"F","2B","CAN"
"75",2021,2011,73,"M","2B","CAN"
"76",2021,2017,84,"F","2B","CAN"
"77",2021,2017,89,"F","2B","CAN"
"78",2021,2017,78,"F","2B","CAN"
"79",2021,2019,78,"F","2B","CAN"
"80",2021,2019,77,"F","2B","CAN"
"81",2021,2019,78,"F","2B","CAN"
"82",2021,2221,82,"F","2B","CAN"
"83",2021,2221,73,"F","2B","CAN"
"84",2021,2221,82,"F","2B","CAN"
"85",2021,2023,86,"F","2B","CAN"
"86",2021,2023,89,"F","2B","CAN"
"87",2021,2023,83,"F","2B","CAN"
"88",2021,2027,67,"F","2B","CAN"
"89",2021,2027,86,"F","2B","CAN"
"90",2021,2027,85,"F","2B","CAN"
"91",2021,2020,76,"F","2B","CAN"
"92",2021,2020,75,"F","2B","CAN"
"93",2021,2020,86,"F","2B","CAN"
"94",2021,2018,55,"M","2B","CAN"
"95",2021,2018,57,"F","2B","CAN"
"96",2021,2018,75,"F","2B","CAN"
"97",2021,2218,81,"F","2B","CAN"
"98",2021,2026,88,"F","2B","CAN"
"99",2021,2026,72,"F","2B","CAN"
"100",2021,2026,92,"F","2B","CAN"
"101",2021,2029,90,"F","2B","CAN"
"102",2021,2029,70,"F","2B","CAN"
"103",2021,2029,67,"F","2B","CAN"
"104",2021,2033,61,"M","2B","CAN"
"105",2021,2033,61,"F","2B","CAN"
"106",2021,2033,82,"F","2B","CAN"
"107",2021,2037,87,"F","2B","CAN"
"108",2021,2037,91,"F","2B","CAN"
"109",2021,2037,80,"F","2B","CAN"
"110",2021,2247,70,"F","2B","CAN"
"111",2021,2247,69,"F","2B","CAN"
"112",2021,2247,87,"F","2B","CAN"
"113",2021,2266,76,"M","2B","CAN"
"114",2021,2266,70,"M","2B","CAN"
"115",2021,2266,74,"M","2B","CAN"
"116",2021,2267,67,"M","2B","CAN"
"117",2021,2267,74,"M","2B","CAN"
"118",2021,2267,75,"M","2B","CAN"
"119",2021,2270,74,"M","2B","CAN"
"120",2021,2270,70,"M","2B","CAN"
"121",2021,2270,73,"M","2B","CAN"
"122",2021,2272,67,"M","2B","CAN"
"123",2021,2272,75,"M","2B","CAN"
"124",2021,2272,77,"M","2B","CAN"
"125",2021,2275,83,"M","2B","CAN"
"126",2021,2275,65,"M","2B","CAN"
"127",2021,2275,71,"M","2B","CAN"
"128",2021,2268,88,"F","2B","CAN"
"129",2021,2268,80,"M","2B","CAN"
"130",2021,2268,96,"F","2B","CAN"
"131",2021,2073,92,"F","2B","CAN"
"132",2021,2073,83,"F","2B","CAN"
"133",2021,2073,77,"M","2B","CAN"
"134",2021,2078,84,"F","2B","CAN"
"135",2021,2078,75,"M","2B","CAN"
"136",2021,2078,70,"M","2B","CAN"
"137",2021,2066,76,"M","2B","CAN"
"138",2021,2066,74,"M","2B","CAN"
"139",2021,2066,86,"F","2B","CAN"
"140",2021,2065,82,"F","2B","CAN"
"141",2021,2058,71,"M","2B","CAN"
"142",2021,2058,61,"M","2B","CAN"
"143",2021,2057,70,"M","2B","CAN"
"144",2021,2057,82,"M","2B","CAN"
"145",2021,2057,70,"M","2B","CAN"
"146",2021,2264,74,"M","2B","CAN"
"147",2021,2264,71,"M","2B","CAN"
"148",2021,2264,75,"F","2B","CAN"
"149",2021,2072,71,"M","2B","CAN"
"150",2021,2072,77,"M","2B","CAN"
"151",2021,2072,81,"F","2B","CAN"
"152",2021,2071,77,"M","2B","CAN"
"153",2021,2071,69,"F","2B","CAN"
"154",2021,2071,68,"M","2B","CAN"
"155",2021,2077,67,"M","2B","CAN"
