"","age","mat_high","mat_adjust_high","mat_low","mat_adjust_low"
"1",0,0,0,0,0
"2",1,0,0,0,0
"3",2,0,0,0,0
"4",3,0,0,0,0
"5",4,0,0,0,0
"6",5,0,0,0,0
"7",6,0,0,0,0
"8",7,0,0,0,0
"9",8,0,0,0,0
"10",9,0,0,0,0
"11",10,0,0,0,0
"12",11,0,0,0,0
"13",12,0,0,0,0
"14",13,0,0,0,0
"15",14,0,0,0,0
"16",15,0,0,0,0
"17",16,0,0,0,0
"18",17,0,0,0,0
"19",18,0,0,0.163037445151649,0.082
"20",19,0,0,0.18025377308823,0.09
"21",20,0,0,0.198856156977902,0.099
"22",21,0,0,0.218865759255575,0.109
"23",22,0,0,0.240284913235169,0.12
"24",23,0,0,0.263094226082535,0.132
"25",24,0.0351991776024093,0.018,0.287250071321976,0.144
"26",25,0.0499999999999999,0.025,0.312682694860072,0.156
"27",26,0.0693874972702974,0.035,0.339295158108583,0.17
"28",27,0.0941066742453045,0.047,0.366963318042598,0.183
"29",28,0.124784362942297,0.062,0.395536994264806,0.198
"30",29,0.161842847272324,0.081,0.424842398209894,0.212
"31",30,0.205417011998552,0.103,0.454685804661905,0.227
"32",31,0.255287877041572,0.128,0.484858340205162,0.242
"33",32,0.310845179947512,0.155,0.515141659794837,0.258
"34",33,0.371088907682353,0.186,0.545314195338095,0.273
"35",34,0.43467453434423,0.217,0.575157601790106,0.288
"36",35,0.5,0.25,0.604463005735194,0.302
"37",36,0.565325465655769,0.283,0.633036681957402,0.317
"38",37,0.628911092317647,0.314,0.660704841891417,0.33
"39",38,0.689154820052488,0.345,0.687317305139928,0.344
"40",39,0.744712122958428,0.372,0.712749928678024,0.356
"41",40,0.794582988001448,0.397,0.736905773917465,0.368
"42",41,0.838157152727675,0.419,0.759715086764831,0.38
"43",42,0.875215637057703,0.438,0.781134240744425,0.391
"44",43,0.905893325754695,0.453,0.801143843022098,0.401
"45",44,0.930612502729703,0.465,0.81974622691177,0.41
"46",45,0.95,0.475,0.836962554848351,0.418
"47",46,0.964800822397591,0.482,0.852829737854763,0.426
"48",47,0.975799140602459,0.488,0.867397347213256,0.434
"49",48,0.983754192702354,0.492,0.880724657272144,0.44
"50",49,0.989354812193212,0.495,0.89287792011277,0.446
"51",50,0.993192815752618,0.497,0.90392793693779,0.452
"52",51,0.995752880319137,0.498,0.913947959942415,0.457
"53",52,0.997415039739239,0.499,0.923011933305578,0.462
"54",53,0.998465478194865,0.499,0.931193063043518,0.466
"55",54,0.999111645080921,0.5,0.938562692396938,0.469
"56",55,0.99949854166718,0.5,0.945189451375933,0.473
"57",56,0.999724028494331,0.5,0.951138645093748,0.476
"58",57,0.99985194408891,0.5,0.956471844596054,0.478
"59",58,0.99992257613917,0.5,0.96124664513746,0.481
"60",59,0.999960538751607,0.5,0.965516559509407,0.483
"61",60,0.999980399073619,0.5,0.969331017477177,0.485
"62",61,0.999990512361077,0.5,0.972735446182261,0.486
"63",62,0.999995525090263,0.5,0.975771410186744,0.488
"64",63,0.999997943511285,0.5,0.978476793464937,0.489
"65",64,0.99999907921567,0.5,0.980886008956362,0.49
"66",65,0.99999959834357,0.5,0.983030224218729,0.492
"67",66,0.999999829315423,0.5,0.984937594240245,0.492
"68",67,0.9999999293429,0.5,0.986633494597279,0.493
"69",68,0.999999971508188,0.5,0.98814074990447,0.494
"70",69,0.999999988808993,0.5,0.989479853937658,0.495
"71",70,0.999999995718592,0.5,0.990669178957671,0.495
