year,month,fleet,sex2,partition,total,F_35,F_40,F_45,F_50,F_55,F_60,F_65,F_70,F_75,F_80,F_85,F_90,F_95,F_100,F_105,F_110,F_115,M_35,M_40,M_45,M_50,M_55,M_60,M_65,M_70,M_75,M_80,M_85,M_90,M_95,M_100,M_105,M_110,M_115
2003,1,8,3,0,430,0.07,0.15,1.44,5.87,20.77,41.69,43.72,23.43,11.82,5.11,2.01,2.6,2.65,2.83,1.96,0.72,0.19,0.06,0.17,0.85,3.58,15.69,38.21,51.46,50.25,47.39,39.61,13.72,1.85,0.12,0,0,0,0
2004,1,8,3,0,2064,0.13,0.34,6.47,32.72,103.63,227.56,244.63,109.45,53.04,31.17,15.74,14.74,14.5,13.19,9.84,4.02,0.78,0.14,0.44,4.54,21.34,84.71,209.75,244.28,213.92,192.68,138.29,61.14,10.31,0.51,0,0,0,0
2005,1,8,3,0,2007,0.09,0.33,8.33,39.96,97.27,197.79,238.68,134.62,70.91,49.81,27.1,19.39,18.35,14.37,11.38,3.61,0.79,0.11,0.56,7.42,26.44,82.13,176.1,215.01,205.34,173.66,123.21,54.97,8.85,0.4,0,0,0,0
2006,1,8,3,0,2465,0.09,0.33,11.36,60.48,145.23,327.95,367.23,122.19,45.35,25.02,11.52,8.99,8.82,7.04,5.82,1.89,0.49,0.13,0.52,8.84,40.91,126.07,288.05,305.26,240.24,169.1,91.61,38.98,5.33,0.18,0,0,0,0
2007,1,8,3,0,1447,0.24,1.22,9.37,38.69,86.69,161.53,165.71,77.23,37.59,23.98,13.12,11.48,11.77,10.01,8.12,2.36,0.59,0.38,1.57,7.45,26.8,75.23,149.22,161.73,132.22,114.3,79.29,33.59,5.34,0.2,0,0,0,0
2008,1,8,3,0,2056,0.2,0.62,10.93,50.72,132.76,300.47,280.01,83.56,30.82,17.54,8.79,8.32,8.39,7.1,6.03,1.86,0.51,0.3,0.91,7.98,34.85,119.46,283.42,259.16,164.06,124.02,76.8,31.2,5.04,0.18,0,0,0,0
2009,1,8,3,0,873,0.13,0.32,5.42,22.1,52.3,99.15,103.68,44.28,18.75,10.35,4.51,5.03,6,5.47,4.5,1.52,0.36,0.19,0.5,4.03,15.52,44.19,87.08,101.95,89.37,73.83,49.82,19.2,3.34,0.11,0,0,0,0
2010,1,8,3,0,2046,0.25,0.73,11.23,42.94,101.5,209.73,266.63,119.04,48.22,25.66,8.93,9.4,12.41,10.55,8.32,2.62,0.55,0.33,1.15,9.33,30.6,81,161.17,234.71,268.7,206.06,120.26,45.48,8.39,0.14,0,0,0,0
2011,1,8,3,0,1835,0.22,0.99,4.61,24.22,70.35,174.77,252.88,124.37,53.85,31.94,12.62,11.31,13.38,11.77,8.42,2.82,0.52,0.25,1.32,4.47,15.49,50.75,127.36,201.17,255.93,204.69,116.35,48.14,9.85,0.17,0,0,0,0
2012,1,8,3,0,723,0.03,0.13,0.98,8.22,25.18,64.12,91.95,48.3,23.71,13.27,4.51,3.57,4.07,3.43,2.48,0.94,0.17,0.04,0.2,1.03,4.89,18.84,49.52,77.58,109.1,89.15,51.57,21.26,4.71,0.05,0,0,0,0
2013,1,8,3,0,1306,0,0.02,0.24,3.41,15.71,89.89,177.63,61.96,17.02,8.49,1.35,0.86,0.85,0.49,0.38,0.11,0.03,0.01,0.03,0.3,1.82,10.71,55.54,163.38,376.03,202.74,86.25,27.52,3.22,0.01,0,0,0,0
2014,1,8,3,0,898,0.02,0.07,1.59,13.99,32.7,78.71,106.99,60.4,30.67,17.38,5.42,3.73,3.94,3,2.31,0.68,0.19,0.04,0.13,1.66,8.61,25.73,59.23,91.33,135.21,109.63,68.46,29.64,6.44,0.08,0,0,0,0
2015,1,8,3,0,367,0.04,0.09,1.11,5.52,15.39,29.74,37.66,26.37,16.12,10.34,5.22,4.39,4.59,4.41,3.18,1.05,0.27,0.07,0.19,1.01,3.84,12.33,24.98,35.15,40.44,38.42,30.7,12.2,2.08,0.09,0,0,0,0
2016,1,8,3,0,1017,0.24,0.46,3.86,17.64,51.24,92.02,103.48,64.58,39.41,24.86,14.03,12.77,12.72,12.8,8.97,3.05,0.72,0.41,0.89,3,12.4,42.77,82.28,102.06,100.17,96.39,77.85,31.04,4.65,0.27,0,0,0,0
2017,1,8,3,0,811,0.5,0.74,3.71,16.28,43.97,83.37,93,46.9,23.76,13.59,7.3,7.27,7.51,7.53,5.17,1.52,0.34,0.52,1.11,3.02,10.72,36.67,75.32,91.09,84.56,72.42,52.01,18.51,2.43,0.17,0,0,0,0
2018,1,8,3,0,1007,0.13,0.34,3.47,21.44,60.54,124.38,137.12,47.93,18.89,9.26,3.44,3.64,3.91,2.85,2.28,0.56,0.16,0.23,0.51,3.17,14.79,53.68,114.26,125.31,105.2,80.15,48.89,18.05,2.32,0.08,0,0,0,0
2019,1,8,3,0,310,0,0.01,0.3,3.42,10.59,35.79,54.01,14.9,4.86,2.77,0.42,0.2,0.21,0.06,0.05,0,0,0,0.01,0.49,1.88,9.25,31.49,41.26,47.07,31.97,12.57,5.68,0.75,0,0,0,0,0
2021,1,8,3,0,355,1.13,2.43,2.85,8.94,22.68,39.04,33.3,18.4,10.15,4.85,1.74,1.87,1.93,1.62,1.39,0.32,0.16,1.38,2.53,2.31,6.46,18.43,32.81,39.95,35.34,29.04,23.41,8.97,1.45,0.09,0,0,0,0
2022,1,8,3,0,789,0.51,1.04,1.74,11.07,40.26,106.08,102.25,37.49,15.72,7.5,2.94,2.77,2.52,2.06,1.69,0.58,0.18,0.61,1.1,1.5,7.48,28.77,74.01,118.28,101.3,59.97,38.98,17.45,3.1,0.07,0,0,0,0
