"year","month","fleet","sex2","partition","N","F_35","F_40","F_45","F_50","F_55","F_60","F_65","F_70","F_75","F_80","F_85","F_90","F_95","F_100","F_105","F_110","F_115","M_35","M_40","M_45","M_50","M_55","M_60","M_65","M_70","M_75","M_80","M_85","M_90","M_95","M_100","M_105","M_110","M_115"
1977,1,1,3,0,399,0,0,0,0,1,0,0,0,2,5,19,58,107,96,44,11,2,0,0,0,0,0,0,1,1,7,21,18,4,2,0,0,0,0
1978,1,1,3,0,656,0,0,0,0,0,0,0,3,4,16,37,101,161,153,99,39,8,0,0,0,0,0,0,0,2,6,18,6,2,0,1,0,0,0
1979,1,1,3,0,306,0,0,0,0,0,0,0,0,0,0,4,20,55,114,75,27,7,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
1980,1,1,3,0,894,0,0,0,0,0,0,0,8,7,22,46,114,206,244,144,46,12,0,0,0,0,0,0,0,1,6,16,19,3,0,0,0,0,0
1987,1,1,3,0,534,0,0,0,0,0,1,4,22,38,82,96,78,40,29,22,4,0,0,0,0,0,0,1,1,8,21,42,35,10,0,0,0,0,0
1991,1,1,3,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,1,2,0,0,0,0,0,0
2000,1,1,3,0,120,0,0,0,0,0,0,0,1,1,1,2,11,22,22,22,9,1,0,0,0,0,0,0,0,2,3,12,9,1,1,0,0,0,0
1977,1,2,3,0,21,0,0,0,1,0,1,0,1,2,0,6,3,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1991,1,2,3,0,42,0,1,2,1,2,1,1,0,0,1,0,2,1,5,2,0,0,0,0,0,0,0,0,1,2,6,5,7,2,0,0,0,0,0
1992,1,2,3,0,54,4,1,1,0,3,6,3,2,0,0,0,4,3,8,2,1,0,0,0,1,3,0,2,3,3,0,0,0,1,1,0,1,1,0
1998,1,2,3,0,1554,0,6,40,88,98,129,102,77,31,20,32,19,15,18,11,3,6,2,5,33,76,103,143,168,132,82,70,39,4,2,0,0,0,0
1999,1,2,3,0,1008,12,25,27,71,74,90,67,75,37,26,10,0,1,0,0,0,0,5,35,41,50,55,54,100,55,62,34,2,0,0,0,0,0,0
2000,1,2,3,0,231,0,0,0,6,23,21,16,14,7,6,2,1,0,1,0,0,0,0,0,0,7,13,10,28,18,13,22,20,3,0,0,0,0,0
2016,1,2,3,0,131,0,0,0,2,0,0,0,1,4,28,41,35,11,4,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0
2017,1,2,3,0,256,0,0,1,1,5,15,16,7,1,0,1,8,10,13,9,4,0,0,0,0,0,4,4,11,16,35,65,26,3,1,0,0,0,0
2018,1,2,3,0,168,0,0,0,2,5,6,16,24,28,13,5,0,0,0,0,0,0,0,0,0,2,3,5,7,14,11,18,5,0,4,0,0,0,0
2019,1,2,3,0,58,0,0,0,0,4,3,7,0,2,2,4,0,0,0,0,0,0,0,0,0,0,3,5,6,5,8,7,0,2,0,0,0,0,0
1988,1,3,3,0,910,0,2,10,40,60,161,126,71,30,3,1,0,0,0,0,0,0,0,0,11,24,59,98,81,63,37,19,13,0,1,0,0,0,0
1989,1,3,3,0,2309,36,20,29,119,284,275,150,64,28,30,14,9,13,8,0,0,0,42,25,27,86,180,235,206,123,138,86,51,13,12,6,0,0,0
1991,1,3,3,0,658,0,0,0,1,2,6,18,24,7,34,9,1,0,0,2,2,0,0,0,0,1,0,32,59,121,127,145,61,6,0,0,0,0,0
1992,1,3,3,0,1264,0,7,99,82,154,202,87,19,5,0,0,0,0,0,0,0,0,0,14,52,42,89,147,76,50,102,16,18,3,0,0,0,0,0
1993,1,3,3,0,804,2,11,59,83,116,66,28,6,1,0,0,0,0,0,0,0,0,4,9,53,62,44,24,16,28,54,71,58,9,0,0,0,0,0
1994,1,3,3,0,2132,26,34,109,279,278,195,93,31,11,2,4,0,0,0,0,0,0,11,18,90,202,237,191,100,83,57,64,15,0,2,0,0,0,0
1995,1,3,3,0,332,0,0,4,26,63,57,30,4,0,0,0,0,0,0,0,0,0,0,0,3,11,46,34,21,7,10,6,9,1,0,0,0,0,0
1996,1,3,3,0,2831,56,112,259,323,366,199,51,8,2,1,0,0,0,0,0,0,0,49,115,204,320,334,245,79,34,41,27,5,0,1,0,0,0,0
1997,1,3,3,0,4001,39,69,161,255,295,309,218,109,50,27,4,0,0,0,0,0,0,39,63,150,237,285,324,322,313,277,241,172,39,3,0,0,0,0
1998,1,3,3,0,5070,5,19,118,258,339,268,179,112,49,31,21,14,7,10,4,0,2,1,20,103,253,348,282,271,521,828,687,278,40,2,0,0,0,0
1999,1,3,3,0,1649,2,20,84,211,231,142,61,17,9,4,0,0,0,0,0,0,0,1,8,72,168,216,149,67,56,63,44,20,4,0,0,0,0,0
2000,1,3,3,0,1621,172,41,124,161,171,93,31,11,5,1,0,3,0,0,0,0,0,176,35,114,131,138,79,44,38,25,19,6,1,1,0,0,1,0
2001,1,3,3,0,2233,0,3,44,193,316,254,100,28,10,2,0,0,0,0,0,0,0,0,1,37,153,298,276,158,116,134,80,24,6,0,0,0,0,0
2004,1,3,3,0,1416,0,0,20,35,70,102,101,60,44,29,5,0,0,0,0,0,0,0,0,26,62,71,121,98,106,166,215,74,11,0,0,0,0,0
1980,1,4,3,0,384,0,0,0,0,0,0,0,0,5,19,24,40,43,32,12,0,0,0,0,0,0,0,0,0,0,28,77,84,19,1,0,0,0,0
1984,1,4,3,0,278,0,0,0,0,0,0,0,0,0,0,0,17,48,77,81,28,17,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0
1987,1,4,3,0,616,0,0,0,0,0,0,0,0,0,7,43,156,190,126,57,25,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1991,1,4,3,0,104,0,0,0,0,0,0,0,0,0,6,17,24,29,15,3,2,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0
2002,1,4,3,0,61,0,0,0,0,0,0,1,2,3,10,10,10,5,7,5,1,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0
2003,1,4,3,0,61,0,0,0,0,0,0,0,0,0,1,3,3,10,11,17,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,6,3,0,485,0,0,1,8,13,19,32,22,55,72,49,15,2,0,0,0,0,0,0,0,6,16,65,85,23,2,0,0,0,0,0,0,0,0
2012,1,6,3,0,782,0,2,2,4,15,21,28,36,90,173,152,43,6,0,0,0,0,0,0,1,10,24,55,81,34,5,0,0,0,0,0,0,0,0
2013,1,6,3,0,779,0,1,1,12,29,31,61,56,56,94,68,19,5,0,0,0,0,0,0,3,9,40,120,132,37,4,1,0,0,0,0,0,0,0
2014,1,6,3,0,747,0,0,3,17,34,34,43,39,83,86,71,26,6,0,0,0,0,0,0,1,12,47,96,100,46,3,0,0,0,0,0,0,0,0
2015,1,6,3,0,767,0,0,3,10,22,44,42,59,91,120,90,35,2,1,0,0,0,0,0,1,3,27,64,82,47,13,8,2,0,1,0,0,0,0
2016,1,6,3,0,701,0,0,1,12,30,34,33,26,34,54,65,19,4,0,0,0,0,0,1,1,9,23,109,150,82,8,2,1,3,0,0,0,0,0
2017,1,6,3,0,701,0,0,1,23,31,28,27,28,53,74,64,24,4,1,0,0,0,0,2,6,12,54,98,119,45,6,1,0,0,0,0,0,0,0
2018,1,6,3,0,1338,0,1,4,22,60,61,96,123,118,145,117,33,5,1,0,0,0,0,3,9,15,55,159,215,82,13,1,0,0,0,0,0,0,0
2019,1,6,3,0,726,1,0,1,7,27,35,42,65,102,106,65,30,1,0,0,0,0,0,0,0,5,28,54,114,41,1,1,0,0,0,0,0,0,0
2021,1,6,3,0,511,1,1,0,10,17,19,24,32,42,49,43,13,6,1,0,0,0,0,0,1,4,28,69,82,45,20,3,1,0,0,0,0,0,0
2003,1,8,3,0,417,2,8,3,10,37,40,33,25,9,1,2,0,0,0,0,0,0,0,2,9,5,21,67,59,43,22,14,4,0,1,0,0,0,0
